Breed,Group,Portrait Image,Landscape Image,Size,Lifespan,Height,Weight,Friendliness,Family Friendly,Child Friendly,Pet Friendly,Stranger Friendly,Easy to Groom,Energy Levels,Exercise,Health,Shedding Amout,Barks / Howls,Easy to Train,Guard Dog,Playfulness,Watch dog,Apartment Dog,Can be Alone,Good for Busy Owners,Good for New Owners,Intelligence,Health Concerns,Short Description,Long Description
Canadian Eskimo Dog,Working,,,,10 - 15 yrs.,20 - 28 in.,65 - 90 lbs,15,14,27,5,42,67,67,75,100,63,88,72,20,75,30,9,90,89,55,70,"Outstanding work ethic, Intelligent, Extremely well-suited for outdoor living, Loyal and affectionate to handlers, Active and athletic, Healthy and hardy, Creates deep bonds with adult family members, Responds well to training, Fantastic sled-pulling capabilities, Socializes fairly well with strangers","Canadian Eskimo Dog information, facts, and high-quality breed pictures. Learn everything about the Canadian Eskimo Dog dog breed including temperament, care, and more.","The Canadian Eskimo Dog (CED), a member of the Working group of breeds, has existed in Arctic and sub-Arctic regions of the world for thousands of years; the Inuit and other indigenous peoples have used them as multi-purpose working dogs since prehistoric times. As such, CEDs are best suited for active use in northern climates, either as sled-pullers or as work dogs in snowy areas. Some Canadian Eskimo Dog facts: CEDs are medium- to large-sized, and size varies somewhat between genders; males are 23-28 inches at the sho..."
Catalan Sheepdog,Pastoral,,,,10 - 14 yrs.,17 - 19 in.,45 - 60 lbs,77,87,86,62,83,67,67,63,50,50,25,88,50,80,50,37,90,91,11,80,"Epilepsy, Glaucoma, Hip dysplasia, Patellar luxation, Dental problems, Congenital deafness, Progressive retinal atrophy (PRA)","Catalan Sheepdog information, facts, and high-quality breed pictures. Learn everything about the Catalan Sheepdog dog breed including temperament, care, and more.","The Catalan Sheepdog, also known as the Gos D'Atura, has its origins in Spain and is believed to have come from Sheepdog breeds dating back to Roman times. They remain in wide use there and can also be found throughout Germany, Finland, and Sweden. They are one of the smallest working Sheepdog breeds. A variation with short hair also exists, but they are extremely rare and believed to be nearly extinct. The Catalan Sheepdog is, as the breed's name states, a dog who herds sheep. They do much more, but this dog's primary ..."
Cavalier King Charles Spaniel,Toy,,,,9 - 15 yrs.,12 - 13 in.,13 - 18 lbs,95,95,95,95,96,100,33,50,80,50,63,80,20,95,60,95,20,80,100,70,"Lapdog temperament- affectionate, gentle, attention loving, Playful and adventurous, Great with children, Great with other dogs, Good with cats, Friendly with strangers, Not aggressive, Adaptable to your activity level, Can live in any size dwelling, Easy to train","Everything about the Cavalier King Charles Spaniel dog breed. Discover breed coloring, sizing, traits, lifespan, and compare Cavalier King Charles Spaniels.","The breed is intelligent, agile, and has flushing and retrieving instincts inherited from it's spaniel ancestors. The Cavalier King Charles Spaniel's dark eyes are often thickly traced by darker fur which makes the eyes look larger (similar to puppy eyes), generally resulting in a constant supply of petting and treats from its owners and strangers. The Cavalier King Charles Spaniel, ""Cavie"" or ""Cav"" is presently a popular companion dog but actually has roots as a hunting companion and lapdog for royalty. Like the name s..."
Cesky Terrier,Terrier,,,,10 - 15 yrs.,10 - 13 in.,16 - 22 lbs,90,95,60,40,66,67,0,38,100,25,50,80,30,56,80,95,60,60,84,70,"Small-sized (average of 12 inches at the shoulders in height and 19 pounds in weight), Softer coat than other terrier breeds, Fairly rare in North America, Coat has long furnishings on face, legs, and underbelly, AKC Rank: 182 of 194","Cesky Terrier information, facts, and high-quality breed pictures. Learn everything about the Cesky Terrier dog breed including temperament, care, and more.","The Cesky Terrier (sometimes spelled Czesky Terrier) is a rare, small-sized breed that was developed in Europe in the late 1940s by mixing the Scottish Terrier with the Sealyham Terrier. Considered more mellow than other terrier breeds, these dogs are friendly and affectionate--but they still have the usual boldness, digging tendencies, and sometime stubbornness of all terriers. The Cesky is good with children, but not so much with other dogs (and other pets in general); they'll need frequent grooming, but they don't sh..."
Chihuahua (Long Coat),Toy,,,,15 - 20 yrs.,6 - 9 in.,3 - 6 lbs,80,95,95,40,48,100,67,50,40,50,100,80,30,80,100,95,20,20,84,80,"Obesity, Liver shunt, Corneal ulcers, Heart diseases, Bladder stones, Dental diseases, Luxating patella, Collapsing trachea, Legg-Perthes disease, Respiratory problems, Intolerance to heat and cold","Everything about the Chihuahua dog breed. Discover Chihuahua coloring, sizing, traits, lifespan, and compare Chihuahuas to other dog breeds.","Chihuahuas are companion dogs and will nearly always be close to (if not in the arms of) their owner. The breed is extremely alert, which makes them a fantastic watch dog, and are extremely agile. Chihuahuas are intelligent and are willing to please their owner, so obedience training is generally not an issue even with people inexperienced with dogs. The Chihuahua is a companion dog that is not quite recommended for first time dog owners unless the owner has a lot of patience. These dogs tend to not like kids, other dog..."
Chihuahua (Smooth Coat),Toy,,,,15 - 20 yrs.,6 - 9 in.,3 - 6 lbs,80,95,95,40,48,100,67,50,40,50,100,80,30,80,100,95,20,20,84,80,"Obesity, Liver shunt, Corneal ulcers, Heart diseases, Bladder stones, Dental diseases, Luxating patella, Collapsing trachea, Legg-Perthes disease, Respiratory problems, Intolerance to heat and cold","Everything about the Chihuahua dog breed. Discover Chihuahua coloring, sizing, traits, lifespan, and compare Chihuahuas to other dog breeds.","Chihuahuas are companion dogs and will nearly always be close to (if not in the arms of) their owner. The breed is extremely alert, which makes them a fantastic watch dog, and are extremely agile. Chihuahuas are intelligent and are willing to please their owner, so obedience training is generally not an issue even with people inexperienced with dogs. The Chihuahua is a companion dog that is not quite recommended for first time dog owners unless the owner has a lot of patience. These dogs tend to not like kids, other dog..."
Chinese Crested,Toy,,,,13 - 15 yrs.,10 - 13 in.,5 - 12 lbs,80,80,95,80,83,50,33,25,95,25,100,20,30,60,90,95,20,20,63,80,"Most people consider the Chinese Crested to be an ugly dog-- this makes the all the more appealing to potential owners and current fanciers of the breed. Don't believe us? The Chinese crested has won the ugliest dog award 11 times! The contest is called the ""World's Ugliest Dog Contest"" and it is held every year as part of the Sonoma-Marin Fair in California. The Chinese Crested has won 11 years from 2000-2018 with one particularly ugly Chinese Crested, Sam, winning 3 years in a row from 2003-2005.","Chinese Crested information, facts, and high-quality breed pictures. Learn everything about the Chinese Crested dog breed including temperament, care, and more.","A small-sized breed, Cresteds (both males and females) weigh 5-12 pounds, and are 10-13 inches in height at the shoulders. With personalities as complex as their bodies are tiny, these dogs are affectionate, needy, sometimes stubborn, and always devoted. They show great love to people and animals whom they know, and will suffer separation anxiety if left alone; conversely, they are timid and defensive around strange humans and animals. (But for what it's worth, they make excellent watchdogs). With early socialization, t..."
Chow Chow,Utility,,,,12 - 15 yrs.,17 - 20 in.,40 - 75 lbs,20,40,20,20,31,67,33,38,40,50,13,40,70,80,70,60,95,95,42,20,"Excellent guard dog, Doesn't require tons of activity, Suitable for apartments and small living spaces, Loyal, Ok with other pets, Iconic appearance","Everything about the Chow Chow dog breed. Discover Chow Chow coloring, sizing, traits, lifespan, and compare Chow Chows to other dog breeds.","Originating in Northern Asia, the Chow Chow has teddy bear looks with a protective personality. In fact, they are best known for being dignified, reserved, aloof and even downright aggressive. This is a breed for a strong minded, strong willed owner, otherwise, the independent nature of the breed may make them quite unmanageable. For those that wonder "" Are Chow Chows dangerous?"" the answer is: they certainly can be. Chow Chow attacks are not are frequent as you may fear but the fact is they can be overly protective and..."
Cirneco Dell’Etna,Hound,,,,12 - 14 yrs.,17 - 20 in.,17 - 25 lbs,,,,,,100,67,75,,25,38,,30,,30,,,,,80,,Everything about the Cirneco Dell,"The Cirneco dell'Etna (also called the Sicilian Rabbit Hound) is a small- to medium-sized, lean sighthound. These versatile, athletic dogs are fairly rare, and are great as hunting companions, pets for active families, and as show dogs. The Cirneco is also low-shedding (and low-maintenance in general), but will require a good bit of daily exercise. The breed has excellent health as well."
Collie (Rough),Pastoral,,,,14 - 16 yrs.,22 - 26 in.,60 - 80 lbs,95,95,95,80,83,33,67,75,60,88,88,80,30,80,80,80,40,40,63,100,,"Collie information, facts, and high-quality breed pictures. Learn everything about the Collie dog breed including temperament, care, and more.","This breed is highly intelligent, dedicated and loyal, and a fantastic watchdog. Collies are known for their sensitivity, and many seem to develop almost human-like personalities. The breed is especially good with children, as characterized by the popularity of the long-running TV series Lassie, which featured a Rough Collie as its main character. Collies are extremely social animals, and prefer the company of others; many are prone to excessive barking if left alone. On the large side of medium-size, this breed needs a..."
Collie (Smooth),Pastoral,,,,14 - 16 yrs.,22 - 26 in.,60 - 80 lbs,95,95,95,80,83,33,67,75,60,88,88,80,30,80,80,80,40,40,63,100,,"Collie information, facts, and high-quality breed pictures. Learn everything about the Collie dog breed including temperament, care, and more.","This breed is highly intelligent, dedicated and loyal, and a fantastic watchdog. Collies are known for their sensitivity, and many seem to develop almost human-like personalities. The breed is especially good with children, as characterized by the popularity of the long-running TV series Lassie, which featured a Rough Collie as its main character. Collies are extremely social animals, and prefer the company of others; many are prone to excessive barking if left alone. On the large side of medium-size, this breed needs a..."
Coton De Tulear,Toy,,,,14 - 16 yrs.,9 - 13 in.,11 - 15 lbs,100,100,100,95,96,67,17,25,95,25,38,60,10,100,50,95,20,10,84,70,"Smart, Very playful, Extremely polite, Sheds very little, Great indoor dog, Amazingly soft hair, Few exercise needs, Loves to please people","Everything about the Coton De Tulear dog breed. Discover Coton De Tulear coloring, sizing, traits, lifespan, and compare Coton De Tulears to other dog breeds.","The Coton De Tulear is a companion dog. These fluffy little family pets are best with people who have some dog experience. Because they are so incredibly cute, a lot of people might let Coton de Tulear behavior problems slide by. Although they are very small dogs, they still need a strong-minded owner who will take charge. One of the most basic facts you should know is that many problems come from anxiety, and your Coton needs to know that you can handle things to prevent such stress! If you are thinking of adopting one..."
Dachshund (Long Haired),Hound,,,,12 - 16 yrs.,5 - 11 in.,11 - 32 lbs,60,80,95,60,31,100,67,50,40,25,75,40,20,80,80,95,60,60,84,70,"Bloat, Tumors, Obesity, Walleye, Cancers, Epilepsy, Cataracts, Liver shunt, Narcolepsy, Back injuries, Elbow dysplasia, Polyneuropathy, Hyperthyroidism, Pattern baldness, Inherited deafness, Mitral valve disease, Keratoconjunctivitis, Legg-Calve-Perthes, Demodectic mange, Acanthosis Nigricans, Lymphocytic thyroiditis, Von Willebrand's disease, Intervertebral disk disease, Congenital night blindness, Autoimmune hemolytic anemia, Progressive Retinal Atrophy (PRA)","Everything about the Dachshund dog breed. Discover Dachshund coloring, sizing, traits, lifespan, and compare Dachshunds to other dog breeds.","The dachshund is a brave intelligent dog that can be stubborn at times. The breed has a lot of energy and enough stamina to keep up with hunters on horseback. They have an incredible digging instinct and an incredibly deep bark which many people mistake as coming from a much larger dog. The Dachshund was bred as a hunter. Over the last century or so, however, this formerly medium-sized, highly aggressive, and very versatile dog has been down-bred in size, made a lot less mean (even if they sometimes attack), and yet rem..."
Dachshund (Miniature Long Haired),Hound,,,,12 - 16 yrs.,5 - 11 in.,11 - 32 lbs,60,80,95,60,31,100,67,50,40,25,75,40,20,80,80,95,60,60,84,70,"Bloat, Tumors, Obesity, Walleye, Cancers, Epilepsy, Cataracts, Liver shunt, Narcolepsy, Back injuries, Elbow dysplasia, Polyneuropathy, Hyperthyroidism, Pattern baldness, Inherited deafness, Mitral valve disease, Keratoconjunctivitis, Legg-Calve-Perthes, Demodectic mange, Acanthosis Nigricans, Lymphocytic thyroiditis, Von Willebrand's disease, Intervertebral disk disease, Congenital night blindness, Autoimmune hemolytic anemia, Progressive Retinal Atrophy (PRA)","Everything about the Dachshund dog breed. Discover Dachshund coloring, sizing, traits, lifespan, and compare Dachshunds to other dog breeds.","The dachshund is a brave intelligent dog that can be stubborn at times. The breed has a lot of energy and enough stamina to keep up with hunters on horseback. They have an incredible digging instinct and an incredibly deep bark which many people mistake as coming from a much larger dog. The Dachshund was bred as a hunter. Over the last century or so, however, this formerly medium-sized, highly aggressive, and very versatile dog has been down-bred in size, made a lot less mean (even if they sometimes attack), and yet rem..."
Dachshund (Miniature Smooth Haired),Hound,,,,12 - 16 yrs.,5 - 11 in.,11 - 32 lbs,60,80,95,60,31,100,67,50,40,25,75,40,20,80,80,95,60,60,84,70,"Bloat, Tumors, Obesity, Walleye, Cancers, Epilepsy, Cataracts, Liver shunt, Narcolepsy, Back injuries, Elbow dysplasia, Polyneuropathy, Hyperthyroidism, Pattern baldness, Inherited deafness, Mitral valve disease, Keratoconjunctivitis, Legg-Calve-Perthes, Demodectic mange, Acanthosis Nigricans, Lymphocytic thyroiditis, Von Willebrand's disease, Intervertebral disk disease, Congenital night blindness, Autoimmune hemolytic anemia, Progressive Retinal Atrophy (PRA)","Everything about the Dachshund dog breed. Discover Dachshund coloring, sizing, traits, lifespan, and compare Dachshunds to other dog breeds.","The dachshund is a brave intelligent dog that can be stubborn at times. The breed has a lot of energy and enough stamina to keep up with hunters on horseback. They have an incredible digging instinct and an incredibly deep bark which many people mistake as coming from a much larger dog. The Dachshund was bred as a hunter. Over the last century or so, however, this formerly medium-sized, highly aggressive, and very versatile dog has been down-bred in size, made a lot less mean (even if they sometimes attack), and yet rem..."
Dachshund (Miniature Wire Haired),Hound,,,,12 - 16 yrs.,5 - 11 in.,11 - 32 lbs,60,80,95,60,31,100,67,50,40,25,75,40,20,80,80,95,60,60,84,70,"Bloat, Tumors, Obesity, Walleye, Cancers, Epilepsy, Cataracts, Liver shunt, Narcolepsy, Back injuries, Elbow dysplasia, Polyneuropathy, Hyperthyroidism, Pattern baldness, Inherited deafness, Mitral valve disease, Keratoconjunctivitis, Legg-Calve-Perthes, Demodectic mange, Acanthosis Nigricans, Lymphocytic thyroiditis, Von Willebrand's disease, Intervertebral disk disease, Congenital night blindness, Autoimmune hemolytic anemia, Progressive Retinal Atrophy (PRA)","Everything about the Dachshund dog breed. Discover Dachshund coloring, sizing, traits, lifespan, and compare Dachshunds to other dog breeds.","The dachshund is a brave intelligent dog that can be stubborn at times. The breed has a lot of energy and enough stamina to keep up with hunters on horseback. They have an incredible digging instinct and an incredibly deep bark which many people mistake as coming from a much larger dog. The Dachshund was bred as a hunter. Over the last century or so, however, this formerly medium-sized, highly aggressive, and very versatile dog has been down-bred in size, made a lot less mean (even if they sometimes attack), and yet rem..."
